fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,date,home_team,away_team,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season
West Bromwich Albion v West Ham,0.0,0.5748517997562885,0.6282737161964178,0.7611690163612366,0.0,0,1,4,1,0,2016-09-17,West Bromwich Albion,West Ham,0,2,5,1,0,0.06565889716148376,0.09632569923996925,1.269821031484753,0.7611690163612366,0.18124069273471832,0,1,3,1,0,1,2,17,1,2,1.964294532313943,2.374215336982161,1.2031255159527063,1.6130463206209242,0.5748517997562885,0.34322528913617134,2016
Everton v Middlesbrough,0.0,0.13291960209608078,1.0417456068098545,0.0,0.0,0,2,4,0,0,2016-09-17,Everton,Middlesbrough,0,3,9,0,0,0.0,0.0,0.10172859951853752,0.0,0.07635290175676346,0,0,0,0,0,0,0,6,0,1,1.1746652089059353,0.17808150127530098,1.1746652089059353,0.17808150127530098,0.13291960209608078,0.07635290175676346,2016
Watford v Manchester United,0.06028740108013153,0.0,0.8592173103243113,0.7611690163612366,0.06438979879021645,1,0,3,1,0,2016-09-18,Watford,Manchester United,1,0,5,1,3,0.05056929960846901,0.029393999837338924,1.305828302167356,0.0,0.02779410034418106,0,0,2,0,0,1,2,11,0,1,1.7450635265558958,1.413585701957345,0.9838945101946592,1.413585701957345,0.12467719987034798,0.107757399789989,2016
Crystal Palace v Stoke,0.04880790039896965,0.05663240049034357,0.46566659212112427,0.0,0.7425567805767059,1,1,3,0,2,2016-09-18,Crystal Palace,Stoke,1,3,8,0,2,0.0,0.6160292848944664,0.46648201160132885,0.0,0.12057099677622318,0,1,2,0,1,0,3,6,0,2,1.3136636735871434,1.2030822932720184,1.3136636735871434,1.2030822932720184,0.8479970814660192,0.7366002816706896,2016
Southampton v Swansea,0.04883759841322899,0.2634368073195219,1.8423522934317589,0.0,0.0,1,1,4,0,0,2016-09-18,Southampton,Swansea,1,3,15,0,0,0.0,0.0,0.4325447026640177,0.0,0.058116499334573746,0,0,3,0,0,0,0,8,0,1,2.1546266991645098,0.4906612019985914,2.1546266991645098,0.4906612019985914,0.3122744057327509,0.058116499334573746,2016
Tottenham v Sunderland,0.1403667964041233,0.3913998007774353,1.9961438784375787,0.0,0.0,0,1,8,0,0,2016-09-18,Tottenham,Sunderland,2,5,24,0,0,0.0,0.03388499841094017,0.8192155957221985,0.0,0.10772000253200531,0,0,1,0,0,0,1,4,0,1,2.5279104756191373,0.960820596665144,2.5279104756191373,0.960820596665144,0.5317665971815586,0.14160500094294548,2016
Swansea v Manchester City,0.052424900233745575,0.0656697005033493,0.9746080851182342,0.0,0.018253600224852562,1,1,3,0,0,2016-09-24,Swansea,Manchester City,1,1,10,0,1,0.07244139909744263,0.3209137134253979,1.4225167762488127,0.7611690163612366,0.0,0,0,3,1,0,1,2,14,1,0,1.1109562860801816,2.5770409051328897,1.1109562860801816,1.8158718887716532,0.13634820096194744,0.3933551125228405,2016
Manchester United v Leicester,0.0,1.1101202182471752,1.3459217799827456,0.0,0.0,0,3,4,0,0,2016-09-24,Manchester United,Leicester,0,5,11,0,0,0.0,0.1470439974218607,0.1409477610141039,0.0,0.0,0,0,3,0,0,0,5,5,0,0,2.456041998229921,0.2879917584359646,2.456041998229921,0.2879917584359646,1.1101202182471752,0.1470439974218607,2016
Bournemouth v Everton,0.0,0.09543769806623459,0.5156982075423002,0.0,0.08245830237865448,0,0,1,0,0,2016-09-24,Bournemouth,Everton,0,1,10,0,1,0.0,0.0,0.5808090921491385,0.0,0.6274497136473656,0,0,1,0,1,0,0,8,0,5,0.6935942079871893,1.208258805796504,0.6935942079871893,1.208258805796504,0.17789600044488907,0.6274497136473656,2016
Liverpool v Hull,0.058194201439619064,0.7415403909981251,2.316973845474422,1.5223380327224731,0.012624099850654602,0,2,7,2,0,2016-09-24,Liverpool,Hull,1,5,23,2,1,0.04157629981637001,0.11597199738025665,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,4.651670570485294,0.15754829719662666,3.1293325377628207,0.15754829719662666,0.8123586922883987,0.15754829719662666,2016
